Store,Dept,Date,IsHoliday,Weekly_Pred
1,1,2011-05-06,False,17413.94
1,1,2011-05-13,False,18926.74
1,1,2011-05-20,False,14773.04
1,1,2011-05-27,False,15580.43
1,1,2011-06-03,False,17558.09
1,1,2011-06-10,False,16637.62
1,1,2011-06-17,False,16216.27
1,1,2011-06-24,False,16328.72
1,2,2011-05-06,False,47903.01
1,2,2011-05-13,False,43675.61
1,2,2011-05-20,False,44319.15
1,2,2011-05-27,False,44619.52
1,2,2011-06-03,False,48754.47
1,2,2011-06-10,False,47089.54
1,2,2011-06-17,False,44428.71
1,2,2011-06-24,False,45299.92
1,3,2011-05-06,False,9372.8
1,3,2011-05-13,False,7919.86
1,3,2011-05-20,False,7813.91
1,3,2011-05-27,False,8412.69
1,3,2011-06-03,False,8001.41
1,3,2011-06-10,False,7742.75
1,3,2011-06-17,False,8201.06
1,3,2011-06-24,False,6591.22
1,4,2011-05-06,False,37168.34
1,4,2011-05-13,False,33657.7
1,4,2011-05-20,False,35571.47
1,4,2011-05-27,False,36380.36
1,4,2011-06-03,False,40548.19
1,4,2011-06-10,False,36579.96
1,4,2011-06-17,False,35059.52
1,4,2011-06-24,False,34454.69
1,5,2011-05-06,False,19260.44
1,5,2011-05-13,False,16891.66
1,5,2011-05-20,False,16157.17
1,5,2011-05-27,False,15784.6
1,5,2011-06-03,False,22932.26
1,5,2011-06-10,False,21817.36
1,5,2011-06-17,False,19778.44
1,5,2011-06-24,False,19054.58
1,6,2011-05-06,False,7477.7
1,6,2011-05-13,False,6982.17
1,6,2011-05-20,False,3395.75
1,6,2011-05-27,False,6165.59
1,6,2011-06-03,False,5484.9
1,6,2011-06-10,False,4082.04
1,6,2011-06-17,False,3902.26
1,6,2011-06-24,False,4239.1
1,7,2011-05-06,False,20457.62
1,7,2011-05-13,False,18771.35
1,7,2011-05-20,False,28726.86
1,7,2011-05-27,False,36911.59
1,7,2011-06-03,False,44563.68
1,7,2011-06-10,False,26910.46
1,7,2011-06-17,False,26984.25
1,7,2011-06-24,False,28912.18
1,8,2011-05-06,False,35393.78
1,8,2011-05-13,False,33131.69
1,8,2011-05-20,False,34442.73
1,8,2011-05-27,False,35046.1
1,8,2011-06-03,False,35181.47
1,8,2011-06-10,False,34036.53
1,8,2011-06-17,False,33387.48
1,8,2011-06-24,False,33731.24
